Developer Name, Repository Name, Number of Stars
hpcaitech , Open-Sora, 18,657
danny-avila , LibreChat, 13,218
rustdesk , rustdesk, 66,690
amplication , amplication, 14,162
open-metadata , OpenMetadata, 4,650
pocketbase , pocketbase, 35,417
zed-industries , zed, 38,415
baptisteArno , typebot.io, 5,614
argilla-io , argilla, 3,407
bleedline , aimoneyhunter, 10,284
ollama , ollama, 74,543
langflow-ai , langflow, 19,210
lobehub , lobe-chat, 33,045
practical-tutorials , project-based-learning, 177,939
omnivore-app , omnivore, 10,082
yangshun , tech-interview-handbook, 113,356
tencentmusic , supersonic, 940
serverless , serverless, 46,275
